Topic ,Category,Content
Halls of Residence,Student Life,Accra Academy has 8 Halls of Residence: 1. Alema Hall 2. Awuletey Hall 3. Ellen Hall 4. Halm Addo Hall 5. Nana Akuako Sarpong Hall 6. Rt. Hon. Peter Ala Adjetey Hall (Nana Otoafom Bekoe) 7. Nana Wereko Ampem II Hall 8. Nana Awuah Darko Ampem Hall.
Alema Hall (Named after G.N. Alema one of the founding founders),Student Life,
Ellen Hall (Named after Ellen House the first building of the school in James Town),Student Life,
Halm Addo Hall (Named after J.A. Halm-Addo a founding father),Student Life,
Nana Wereko Ampem II Hall (Named after the distinguished alumnus and traditional ruler),Student Life,
Wilson Q .Tei Hall(also known as Willie 'T'Hall),Student Life,
Awuletey Hall (Named after S.N. Awuletey a founding father),Student Life,
Peter Ala Adjetey Hall,Student Life,
Nana Akuako Sarpong Hall,Student Life,
Nana Awuah Darko Ampem Hall,Student Life,One of the newer residential halls on campus.
